Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered;Latitude;Longitude
Hubei;China;2020-03-13T11:09:03;67786;3062;51553;309.756;1.122.707
Guangdong;China;2020-03-13T11:09:03;1356;8;1296;233.417;1.134.244
Henan;China;2020-03-11T08:13:09;1273;22;1249;33.882;113.614
Zhejiang;China;2020-03-12T01:33:02;1215;1;1197;291.832;1.200.934
Hunan;China;2020-03-13T11:09:03;1018;4;1005;276.104;1.117.088
Anhui;China;2020-03-11T02:18:14;990;6;984;318.257;1.172.264
Jiangxi;China;2020-03-12T02:13:04;935;1;934;27.614;1.157.221
Shandong;China;2020-03-13T11:09:03;760;7;739;363.427;1.181.498
Jiangsu;China;2020-03-13T11:09:03;631;0;630;329.711;119.455
Chongqing;China;2020-03-13T23:13:12;576;6;566;300.572;107.874
Sichuan;China;2020-03-13T11:09:03;539;3;503;306.171;1.027.103
Heilongjiang;China;2020-03-13T11:09:03;482;13;446;47.862;1.277.615
Beijing;China;2020-03-13T11:09:03;436;8;342;401.824;1.164.142
Shanghai;China;2020-03-13T11:09:03;346;3;324;31.202;1.214.491
Hebei;China;2020-03-13T11:09:03;318;6;310;380.428;1.145.149
Fujian;China;2020-03-11T02:18:14;296;1;295;260.789;1.179.874
Guangxi;China;2020-03-13T11:09:03;252;2;243;238.298;1.087.881
Shaanxi;China;2020-03-12T01:33:02;245;2;232;351.917;1.088.701
Yunnan;China;2020-03-11T02:18:14;174;2;170;24.974;101.487
Hainan;China;2020-03-12T03:53:02;168;6;160;191.959;1.097.453
Guizhou;China;2020-03-13T11:09:03;146;2;140;268.154;1.068.748
Tianjin;China;2020-03-12T01:53:03;136;3;132;393.054;117.323
Hong Kong;China;2020-03-13T13:33:03;134;4;77;22.3;114.2
Shanxi;China;2020-03-13T11:09:03;133;0;133;375.777;1.122.922
Gansu;China;2020-03-13T11:09:03;127;2;88;360.611;1.038.343
Liaoning;China;2020-03-12T09:53:06;125;1;112;412.956;1.226.085
Xinjiang;China;2020-03-11T02:18:14;76;3;73;411.129;852.401
Inner Mongolia;China;2020-03-11T03:53:03;75;1;71;440.935;1.139.448
Ningxia;China;2020-03-11T09:33:12;75;0;72;372.692;1.061.655
Jilin;China;2020-03-13T11:09:03;93;1;91;436.661;1.261.923
Qinghai;China;2020-03-11T02:18:14;18;0;18;357.452;959.956
Macau;China;2020-03-11T18:52:03;10;0;10;221.667;113.55
Tibet;China;2020-03-11T02:18:14;1;0;1;316.927;880.924
;Panama;2020-03-11T20:00:00;27;1;0;8.538;-807.821
Tasmania;Australia;2020-03-11T20:00:00;5;0;0;-414.545;1.459.707
;Croatia;2020-03-11T20:00:00;32;0;1;45.1;15.2
;Burkina Faso;2020-03-11T20:00:00;2;0;0;122.383;-15.616
;Albania;2020-03-11T20:00:00;33;1;0;411.533;201.683
British Columbia;Canada;2020-03-11T20:00:00;64;1;4;537.267;-1.276.476
New South Wales;Australia;2020-03-11T20:00:00;92;2;4;-338.688;1.512.093
Victoria;Australia;2020-03-11T20:00:00;36;0;8;-378.136;1.449.631
Queensland;Australia;2020-03-11T20:00:00;35;0;8;-280.167;153.4
South Australia;Australia;2020-03-11T20:00:00;16;0;3;-349.285;1.386.007
Channel Islands;United Kingdom;2020-03-11T20:00:00;2;0;0;49.372.284;-2.364.351
;Philippines;2020-03-11T20:00:00;64;5;2;128.797;121.774
;Nepal;2020-03-11T20:00:00;1;0;1;283.949;84.124
;Sri Lanka;2020-03-11T20:00:00;6;0;1;78.731;807.718
;United Arab Emirates;2020-03-11T20:00:00;85;0;17;234.241;538.478
;Thailand;2020-03-11T20:00:00;75;1;35;15.87;1.009.925
;Cambodia;2020-03-11T20:00:00;5;0;1;125.657;104.991
;San Marino;2020-03-11T20:00:00;80;5;0;439.424;124.578
Ontario;Canada;2020-03-11T20:00:00;74;0;4;512.538;-853.232
Australian Capital Territory;Australia;2020-03-11T20:00:00;1;0;0;-354.735;1.490.124
;Germany;2020-03-11T20:00:00;3675;7;46;511.657;104.515
;Congo (Kinshasa);2020-03-11T20:00:00;2;0;0;-40.383;217.587
;Honduras;2020-03-11T20:00:00;2;0;0;15.2;-862.419
Diamond Princess;US;2020-03-11T20:00:00;46;0;0;354.437;139.638
;Algeria;2020-03-11T20:00:00;26;2;8;280.339;16.596
;Reunion;2020-03-11T20:00:00;5;0;0;-211.151;555.364
;Oman;2020-03-11T20:00:00;19;0;9;214.735;559.754
Diamond Princess;Cruise Ship;2020-03-11T20:00:00;696;7;325;354.498;1.396.649
New Brunswick;Canada;2020-03-11T20:00:00;1;0;0;465.653;-664.619
;Italy;2020-03-11T20:00:00;17660;1266;1439;418.719;125.674
;Iraq;2020-03-11T20:00:00;101;9;24;332.232;436.793
;Lebanon;2020-03-11T20:00:00;77;3;1;338.547;358.623
From Diamond Princess;Australia;2020-03-11T20:00:00;0;0;0;354.437;139.638
;Ukraine;2020-03-11T20:00:00;3;1;0;483.794;311.656
;Austria;2020-03-11T20:00:00;504;1;6;475.162;145.501
;Switzerland;2020-03-11T20:00:00;1139;11;4;468.182;82.275
;Ireland;2020-03-11T20:00:00;90;1;0;531.424;-76.921
;Georgia;2020-03-11T20:00:00;25;0;0;423.154;433.569
;Bangladesh;2020-03-11T20:00:00;3;0;0;23.685;903.563
