Country,Ethnic,Classification
Japan,East Asian,3
China,East Asian,3
Vietnam,East Asian,3
Peru,Admixed American,2
Bangladesh,South Asian,2
United Kingdom,European,2
United States,European,1
Pakistan,South Asian,2
Barbados,Admixed American,2
Kenya,African,2
Nigeria,African,2
Puerto Rico,Admixed American,1
Colombia,Admixed American,1
Finland,European,1
Spain,European,1
Italy,European,1
Panama,Admixed American,2
Australia,European,1
Croatia,European,1
Burkina Faso,South Asian,2
Albania,European,1
Canada,European,1
Philippines,South Asian,2
Nepal,South Asian,2
Sri Lanka,South Asian,2
United Arab Emirates,Others,1
Thailand,South Asian,2
Cambodia,South Asian,2
San Marino,European,1
Germany,European,1
Congo (Kinshasa),African,2
Honduras,Admixed American,2
Algeria,African,2
Reunion,Admixed American,2
Oman,Others,1
Iraq,Others,1
Lebanon,Others,1
Ukraine,European,1
Austria,European,1
Switzerland,European,1
Ireland,European,1
Georgia,European,1
Kuwait,Others,1
North Macedonia,European,1
Brazil,Admixed American,2
Greece,European,1
Sweden,European,1
Norway,European,1
France,European,1
Turkey,European,1
Bahrain,Others,1
Iceland,European,1
Ecuador,Admixed American,2
Estonia,European,1
Denmark,European,1
Netherlands,European,1
Cuba,Admixed American,2
Lithuania,European,1
New Zealand,European,1
Belarus,European,1
Azerbaijan,Others,1
Armenia,Others,1
Kazakhstan,Others,1
Iran,Others,1
Israel,Others,1
Cayman Islands,Others,1
Czechia,European,1
Qatar,Others,1
Singapore,South Asian,2
Guadeloupe,Admixed American,2
Dominican Republic,Admixed American,2
Egypt,African,2
Bolivia,Admixed American,2
Indonesia,South Asian,2
"Korea, South",East Asian,3
Latvia,European,1
Senegal,African,2
Ethiopia,African,2
Sudan,African,2
Portugal,European,1
Andorra,European,1
Guinea,African,2
Antigua and Barbuda,Admixed American,2
Belgium,European,1
Russia,European,1
India,South Asian,2
Morocco,African,2
Aruba,Admixed American,2
Argentina,Admixed American,2
Chile,Admixed American,2
Jordan,Others,1
Poland,European,1
Hungary,European,1
Slovenia,European,1
South Africa,African,2
Bosnia and Herzegovina,European,1
Saudi Arabia,Others,1
Cote d'Ivoire,African,2
Luxembourg,European,1
Costa Rica,Admixed American,2
Bhutan,South Asian,2
Malaysia,South Asian,2
Holy See,Others,1
Serbia,European,1
Cameroon,African,2
Slovakia,European,1
Togo,African,2
Romania,European,1
Mexico,Admixed American,2
Brunei,Others,1
Martinique,Admixed American,2
French Guiana,Admixed American,2
Malta,European,1
Paraguay,Admixed American,2
Moldova,European,1
Maldives,South Asian,2
Bulgaria,European,1
Tunisia,African,2
Cyprus,European,1
Mongolia,Others,1
Jamaica,Admixed American,2
Afghanistan,Others,1
Monaco,European,1
Liechtenstein,European,1
Guyana,Admixed American,2
Taiwan*,East Asian,3
