"Country","Ethnic","Weighted Risk"
"Japan","East Asian","0.91128488420194"
"China","East Asian","0.90826526193929"
"Vietnam","East Asian","0.90999043982958"
"Peru","Admixed American","0.7296"
"Bangladesh","South Asian","0.76595"
"United Kingdom","European","0.60587527311301"
"United States","European","0.5412163542536"
"Pakistan","South Asian","0.64055"
"Barbados","Admixed American","0.6302"
"Kenya","African","0.63"
"Nigeria","African","0.61229569319415"
"Puerto Rico","Admixed American","0.6"
"Colombia","Admixed American","0.59"
"Finland","European","0.53238"
"Spain","European","0.508088"
"Italy","European","0.47021407789762"
"Panama","Admixed American","0.66"
"Australia","European","0.56"
"Croatia","European","0.56"
"Burkina Faso","South Asian","0.72"
"Albania","European","0.56"
"Canada","European","0.56"
"Philippines","South Asian","0.72"
"Nepal","South Asian","0.72"
"Sri Lanka","South Asian","0.72"
"United Arab Emirates","Others","0"
"Thailand","South Asian","0.72"
"Cambodia","South Asian","0.72"
"San Marino","European","0.56"
"Germany","European","0.56"
"Congo (Kinshasa)","African","0.62"
"Honduras","Admixed American","0.66"
"Algeria","African","0.62"
"Reunion","Admixed American","0.66"
"Oman","Others","0"
"Iraq","Others","0"
"Lebanon","Others","0"
"Ukraine","European","0.56"
"Austria","European","0.56"
"Switzerland","European","0.56"
"Ireland","European","0.56"
"Georgia","European","0.56"
"Kuwait","Others","0"
"North Macedonia","European","0.56"
"Brazil","Admixed American","0.66"
"Greece","European","0.56"
"Sweden","European","0.56"
"Norway","European","0.56"
"France","European","0.56"
"Turkey","European","0.56"
"Bahrain","Others","0"
"Iceland","European","0.56"
"Ecuador","Admixed American","0.66"
"Estonia","European","0.56"
"Denmark","European","0.56"
"Netherlands","European","0.56"
"Cuba","Admixed American","0.66"
"Lithuania","European","0.56"
"New Zealand","European","0.56"
"Belarus","European","0.56"
"Azerbaijan","Others","0"
"Armenia","Others","0"
"Kazakhstan","Others","0"
"Iran","Others","0"
"Israel","Others","0"
"Cayman Islands","Others","0"
"Czechia","European","0.56"
"Qatar","Others","0"
"Singapore","South Asian","0.72"
"Guadeloupe","Admixed American","0.66"
"Dominican Republic","Admixed American","0.66"
"Egypt","African","0.62"
"Bolivia","Admixed American","0.66"
"Indonesia","South Asian","0.72"
"Korea, South","East Asian","0.91"
"Latvia","European","0.56"
"Senegal","African","0.62"
"Ethiopia","African","0.62"
"Sudan","African","0.62"
"Portugal","European","0.56"
"Andorra","European","0.56"
"Guinea","African","0.62"
"Antigua and Barbuda","Admixed American","0.66"
"Belgium","European","0.56"
"Russia","European","0.56"
"India","South Asian","0.72"
"Morocco","African","0.62"
"Aruba","Admixed American","0.66"
"Argentina","Admixed American","0.66"
"Chile","Admixed American","0.66"
"Jordan","Others","0"
"Poland","European","0.56"
"Hungary","European","0.56"
"Slovenia","European","0.56"
"South Africa","African","0.62"
"Bosnia and Herzegovina","European","0.56"
"Saudi Arabia","Others","0"
"Cote d'Ivoire","African","0.62"
"Luxembourg","European","0.56"
"Costa Rica","Admixed American","0.66"
"Bhutan","South Asian","0.72"
"Malaysia","South Asian","0.72"
"Holy See","Others","0"
"Serbia","European","0.56"
"Cameroon","African","0.62"
"Slovakia","European","0.56"
"Togo","African","0.62"
"Romania","European","0.56"
"Mexico","Admixed American","0.66"
"Brunei","Others","0"
"Martinique","Admixed American","0.66"
"French Guiana","Admixed American","0.66"
"Malta","European","0.56"
"Paraguay","Admixed American","0.66"
"Moldova","European","0.56"
"Maldives","South Asian","0.72"
"Bulgaria","European","0.56"
"Tunisia","African","0.62"
"Cyprus","European","0.56"
"Mongolia","Others","0"
"Jamaica","Admixed American","0.66"
"Afghanistan","Others","0"
"Monaco","European","0.56"
"Liechtenstein","European","0.56"
"Guyana","Admixed American","0.66"
"Taiwan*","East Asian","0.91"
